month,county,closed_sales,median_price,active_listings,months_inventory,days_on_market,price_yoy_change,sales_yoy_change,price_index_2012_base100
2018-10-01,Montgomery County,874,257000.0,3607,4.1,55,0.07083333333,0.01392111369,155.8
2018-11-01,Montgomery County,776,243020.0,3496,4.5,67,-0.01974467055,-0.03241895262,147.3
2018-12-01,Montgomery County,811,255000.0,3327,4.1,76,0.02822580645,-0.08049886621,154.5
2019-01-01,Montgomery County,501,252500.0,3356,6.7,68,0.05208333333,-0.140651801,153.0
2019-02-01,Montgomery County,682,246907.5,3366,4.9,81,0.05111749681,0.01943198804,149.6
2019-03-01,Montgomery County,958,258870.0,3560,3.7,65,0.0570436913,0.06326304107,156.9
2019-04-01,Montgomery County,997,269712.0,3686,3.7,47,0.0008219213664,0.04507337526,163.5
2019-05-01,Montgomery County,1137,269990.0,3913,3.4,38,0.003680297398,0.02064631957,163.6
2019-06-01,Montgomery County,1108,275000.0,3972,3.6,42,0.04206138689,-0.02807017544,166.7
2019-07-01,Montgomery County,1265,270315.0,3877,3.1,45,0.03568965517,0.1626838235,163.8
2019-08-01,Montgomery County,1194,265000.0,3808,3.2,46,0.0210372197,0.09944751381,160.6
2019-09-01,Montgomery County,925,267572.0,3577,3.9,52,0.06602390438,0.149068323,162.2
2019-10-01,Montgomery County,891,265000.0,3464,3.9,59,0.03112840467,0.01945080092,160.6
2019-11-01,Montgomery County,849,263000.0,3290,3.9,59,0.08221545552,0.09407216495,159.4
2019-12-01,Montgomery County,1023,260000.0,3153,3.1,66,0.01960784314,0.261405672,157.6
2020-01-01,Montgomery County,619,254500.0,3193,5.2,72,0.007920792079,0.2355289421,154.2
2020-02-01,Montgomery County,802,257695.0,3275,4.1,70,0.04369045088,0.1759530792,156.2
2020-03-01,Montgomery County,1001,254990.0,3506,3.5,53,-0.01498821802,0.04488517745,154.5
2020-04-01,Montgomery County,868,271330.0,3403,3.9,36,0.005998991517,-0.1293881645,164.4
2020-05-01,Montgomery County,883,269900.0,3274,3.7,46,-0.0003333456795,-0.2233948989,163.6
2020-06-01,Montgomery County,1316,280919.0,3068,2.3,43,0.02152363636,0.1877256318,170.3
2020-07-01,Montgomery County,1604,292590.0,3031,1.9,46,0.08240386216,0.2679841897,177.3
2020-08-01,Montgomery County,1309,289900.0,2751,2.1,34,0.09396226415,0.09631490787,175.7
2020-09-01,Montgomery County,1311,285000.0,2605,2.0,38,0.06513387051,0.4172972973,172.7
2020-10-01,Montgomery County,1309,285000.0,2541,1.9,38,0.07547169811,0.4691358025,172.7
2020-11-01,Montgomery County,1164,267945.0,2450,2.1,33,0.01880228137,0.371024735,162.4
2020-12-01,Montgomery County,1367,285000.0,2247,1.6,36,0.09615384615,0.3362658847,172.7
2021-01-01,Montgomery County,873,290000.0,2095,2.4,40,0.1394891945,0.4103392569,175.8
2021-02-01,Montgomery County,921,282357.0,1914,2.1,37,0.09570228371,0.1483790524,171.1
2021-03-01,Montgomery County,1445,300000.0,1676,1.2,29,0.1765167261,0.4435564436,181.8
2021-04-01,Montgomery County,1404,302039.5,1612,1.1,18,0.1131813659,0.6175115207,183.1
2021-05-01,Montgomery County,1495,312000.0,1645,1.1,12,0.1559836977,0.6930917327,189.1
2021-06-01,Montgomery County,1525,320000.0,1842,1.2,10,0.1391183936,0.1588145897,193.9
2021-07-01,Montgomery County,1467,334000.0,2173,1.5,11,0.1415291022,-0.08541147132,202.4
2021-08-01,Montgomery County,1465,320359.0,2261,1.5,11,0.1050672646,0.1191749427,194.2
2021-09-01,Montgomery County,1359,315900.0,2248,1.7,16,0.1084210526,0.03661327231,191.5
2021-10-01,Montgomery County,1191,325000.0,2201,1.8,17,0.1403508772,-0.09014514897,197.0
2021-11-01,Montgomery County,1127,325000.0,1996,1.8,18,0.2129354905,-0.03178694158,197.0
2021-12-01,Montgomery County,1398,325000.0,1946,1.4,22,0.1403508772,0.02267739576,197.0
2022-01-01,Montgomery County,881,322000.0,1863,2.1,23,0.1103448276,0.009163802978,195.2
2022-02-01,Montgomery County,1116,330000.0,1802,1.6,21,0.1687331995,0.2117263844,200.0
2022-03-01,Montgomery County,1407,343103.0,1906,1.4,16,0.1436766667,-0.02629757785,207.9
2022-04-01,Montgomery County,1252,353561.5,2141,1.7,13,0.170580338,-0.1082621083,214.3
2022-05-01,Montgomery County,1479,350000.0,2469,1.7,12,0.1217948718,-0.01070234114,212.1
2022-06-01,Montgomery County,1510,374825.0,3204,2.1,12,0.171328125,-0.009836065574,227.2
2022-07-01,Montgomery County,1222,370000.0,3717,3.0,13,0.1077844311,-0.1670074983,224.2
2022-08-01,Montgomery County,1284,355000.0,3829,3.0,20,0.1081318146,-0.1235494881,215.2
2022-09-01,Montgomery County,1254,356700.0,4023,3.2,28,0.1291547958,-0.07726269316,216.2
2022-10-01,Montgomery County,1060,345180.0,4099,3.9,36,0.06209230769,-0.1099916037,209.2
2022-11-01,Montgomery County,960,350000.0,3970,4.1,41,0.07692307692,-0.1481810115,212.1
2022-12-01,Montgomery County,1092,344265.0,3805,3.5,57,0.05927692308,-0.2188841202,208.6
2023-01-01,Montgomery County,654,335000.0,3677,5.6,60,0.04037267081,-0.257661748,203.0
2023-02-01,Montgomery County,859,325000.0,3436,4.0,68,-0.01515151515,-0.2302867384,197.0
2023-03-01,Montgomery County,1192,331503.5,3394,2.8,60,-0.03380763211,-0.1528073916,200.9
2023-04-01,Montgomery County,1162,334995.0,3345,2.9,48,-0.05251278773,-0.07188498403,203.0
2023-05-01,Montgomery County,1423,349900.0,3385,2.4,35,-0.0002857142857,-0.03786342123,212.1
