month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2017-03-01,"Houston, TX metro area",7487.0,9633.0,24828.0,11521.0,3.3,226000.0,42.0,0.9709,474.0,44.0,4.196,207344.52,0.0635,0.0991,0.0428,3.0,-0.561,-0.39,0.151,balanced
2017-04-01,"Houston, TX metro area",7066.0,9321.0,26275.0,10957.0,3.7,227000.0,35.0,0.973,472.0,494.0,4.045,208130.74,0.0485,0.0329,0.0888,4.0,0.2136,-0.439,-0.04,balanced
2017-05-01,"Houston, TX metro area",8625.0,10114.0,27762.0,11902.0,3.2,234000.0,31.0,0.9748,463.0,548.0,4.01,208850.22,0.0405,0.1051,0.1211,-1.0,0.6906,-0.394,0.117,balanced
2017-06-01,"Houston, TX metro area",8885.0,9638.0,29254.0,11714.0,3.3,237037.5,31.0,0.9739,528.0,80.0,3.904,209472.09,0.031,0.059,0.1306,-1.0,-0.5298,-0.409,-0.006,balanced
2017-07-01,"Houston, TX metro area",7793.0,9021.0,30244.0,10828.0,3.9,229725.0,33.0,0.9749,466.0,19.0,3.968,209814.73,-0.0008,0.0263,0.1454,3.0,-0.3437,-0.445,-0.301,balanced
2017-08-01,"Houston, TX metro area",6348.0,7546.0,29515.0,8327.0,4.6,230000.0,37.0,0.9734,427.0,731.0,3.88,210248.03,0.0222,-0.246,0.133,4.0,0.5972,-0.476,-0.726,cooler
2017-09-01,"Houston, TX metro area",7321.0,7578.0,26879.0,7226.0,3.7,230000.0,44.0,0.971,305.0,580.0,3.805,210677.94,0.0624,0.038,0.0384,8.0,0.6209,-0.504,-0.016,balanced
2017-10-01,"Houston, TX metro area",6816.0,8336.0,25850.0,8209.0,3.8,225000.0,56.0,0.97,432.0,12.0,3.895,211337.39,0.0465,0.0719,0.0235,14.0,-0.4142,-0.511,-0.142,balanced
2017-11-01,"Houston, TX metro area",6647.0,7306.0,24757.0,7225.0,3.7,225000.0,57.0,0.9685,403.0,694.0,3.922,212094.52,0.009,0.0805,0.0253,10.0,1.2807,-0.501,-0.266,balanced
2017-12-01,"Houston, TX metro area",7251.0,6312.0,22392.0,5348.0,3.1,230000.0,53.0,0.9676,380.0,912.0,3.95,212917.76,0.0222,0.0347,-0.0019,3.0,1.2353,-0.45,-0.119,balanced
